Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Available For Withdrawal,Marginable Securities,Non-Marginable Securities
"Margin Account -3058",5478.40,379.92,5.84,-42.03,-.65,494.59,2633.16,789.95


View Summary - Dividend
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Qty #,Desc,

Symbol,Last Price $,Value $,Change $,Change %,% of Portfolio,Qty #,Cost/Share,Day's Gain $,Total Gain $,Total Gain %,YTD Gain %,Dividend Yield %,Est. Annual Income,Ex-Div Date,Dividend Pay Date,Dividend
     05/23/2025,71.66,71.6600,0.34,0.48,1.3080,1.0000,67.8200,.3400,3.8400,5.6620,5.6620,3.1772,2.2700,08/28/2025,09/15/2025,.5665
     06/16/2025,71.66,1.1466,0.34,0.48,.0209,.0160,71.2500,.0054,.0066,.5754,.5754,3.1772,.0400,08/28/2025,09/15/2025,.5665
     07/24/2025,71.66,71.6600,0.34,0.48,1.3080,1.0000,71.5000,.3400,.1600,.2238,.2238,3.1772,2.2700,08/28/2025,09/15/2025,.5665
     07/31/2025,71.66,71.6600,0.34,0.48,1.3080,1.0000,70.2500,.3400,1.4100,2.0071,2.0071,3.1772,2.2700,08/28/2025,09/15/2025,.5665
     08/26/2025,71.66,71.6600,0.34,0.48,1.3080,1.0000,74.5000,.3400,-2.8400,-3.8121,-3.8121,3.1772,2.2700,08/28/2025,09/15/2025,.5665
HPQ,27.955,139.7750,-0.39,-1.36,2.5514,5.0000,27.6400,-1.5550,1.5750,1.1397,1.1400,4.0861,5.7900,09/10/2025,10/01/2025,.2894
     08/26/2025,27.955,27.9550,-0.39,-1.36,.5103,1.0000,27.0000,-.3850,.9550,3.5370,3.5370,4.0861,1.1600,09/10/2025,10/01/2025,.2894
     08/26/2025,27.955,27.9550,-0.39,-1.36,.5103,1.0000,26.9700,-.3850,.9850,3.6522,3.6522,4.0861,1.1600,09/10/2025,10/01/2025,.2894
     08/27/2025,27.955,27.9550,-0.39,-1.36,.5103,1.0000,26.9300,-.3850,1.0250,3.8062,3.8062,4.0861,1.1600,09/10/2025,10/01/2025,.2894
     09/05/2025,27.955,27.9550,-0.39,-1.36,.5103,1.0000,29.3300,-.3850,-1.3750,-4.6880,-4.6880,4.0861,1.1600,09/10/2025,10/01/2025,.2894
     09/12/2025,27.955,27.9550,-0.39,-1.36,.5103,1.0000,27.9700,-.0150,-.0150,-.0536,-.0536,4.0861,1.1600,09/10/2025,10/01/2025,.2894
AFL,109.12,441.9360,0.43,0.40,8.0669,4.0500,101.2049,1.7415,32.0560,7.8208,7.5700,2.1345,9.4000,08/20/2025,09/02/2025,.5800
     12/15/2022,109.12,1.8550,0.43,0.40,.0339,.0170,74.1176,.0073,.5950,47.2254,5.4911,2.1345,.0400,08/20/2025,09/02/2025,.5800
     06/01/2023,109.12,.1091,0.43,0.40,.0020,.0010,10.0000,.0004,.0991,991.2000,5.4911,2.1345,.0000,08/20/2025,09/02/2025,.5800
